latency_avg_ms,latency_count,latency_p95_ms,overlay_event,overlay_message,pnl_avg,pnl_sum,risk_veto_count,ts
0.0,0,0.0,,,0.0,0.0,0,2026-03-22T00:49:00+00:00
,,,UNIVERSE_RISK_EXPOSURE_OVERRIDE_CREATED,Testing exposure override for Faz-1,,,,2026-03-21T23:43:21.719896+00:00
,,,UNIVERSE_ROLLOUT_ROLLBACK,Testing rollout rollback for Faz-1,,,,2026-03-21T23:43:20.482324+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,Setup for rollback test,,,,2026-03-21T23:43:20.362551+00:00
,,,UNIVERSE_ROLLOUT_DEMOTE,Testing rollout demote for Faz-1,,,,2026-03-21T23:43:20.213124+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,Testing rollout promote for Faz-1,,,,2026-03-21T23:43:20.087912+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,Contract test for rollout promote,,,,2026-03-21T23:39:57.267758+00:00
,,,UNIVERSE_RISK_EXPOSURE_OVERRIDE_CREATED,Testing exposure override for Faz-1,,,,2026-03-21T23:39:54.899369+00:00
,,,UNIVERSE_ROLLOUT_ROLLBACK,Testing rollout rollback for Faz-1,,,,2026-03-21T23:39:51.068368+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,Setup for rollback test,,,,2026-03-21T23:39:50.945877+00:00
,,,UNIVERSE_ROLLOUT_DEMOTE,Testing rollout demote for Faz-1,,,,2026-03-21T23:39:50.827844+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,Testing rollout promote for Faz-1,,,,2026-03-21T23:39:50.701870+00:00
,,,UNIVERSE_RISK_EXPOSURE_OVERRIDE_CREATED,ops_override,,,,2026-03-21T23:37:18.749668+00:00
,,,UNIVERSE_ROLLOUT_PROMOTE,ops_promote,,,,2026-03-21T23:37:18.468028+00:00
,,,RUNTIME_OVERRIDE_CREATE,,,,,2026-03-21T23:23:51.749052+00:00
,,,RUNTIME_OVERRIDE_CREATE,,,,,2026-03-21T23:23:41.381340+00:00
